invoice_id,amount,currency,vendor,posting_date
INV-001,1250.00,GBP,Northwind Freight,2026-03-24
INV-002,875.50,GBP,Acme Parts Ltd,2026-03-24
INV-005,640.00,GBP,Harbor Logistics,2026-03-25
INV-007,1500.00,GBP,Sterling Supplies,2026-03-25
INV-009,980.25,GBP,Channel Couriers,2026-03-25
INV-011,432.10,GBP,Dockside Ltd,2026-03-26
INV-014,2105.00,GBP,Union Rail,2026-03-26
INV-016,755.00,GBP,Crown Packaging,2026-03-26
INV-019,1188.88,GBP,Thames Trading,2026-03-27
INV-022,333.33,GBP,Portside Gear,2026-03-27
INV-003,420.00,USD,Metro Utilities,2026-03-25
INV-004,1999.99,USD,CloudHost Inc,2026-03-25
INV-006,310.25,USD,Office Depot,2026-03-26
INV-008,88.40,USD,Bean Roasters,2026-03-26
INV-010,1540.00,USD,Legal Partners,2026-03-26
INV-012,267.80,USD,Print Shop,2026-03-27
INV-013,890.15,USD,DataVault,2026-03-27
INV-015,120.00,USD,City Parking,2026-03-24
INV-017,6400.00,USD,Hardware Hub,2026-03-24
INV-018,512.45,USD,Travel Desk,2026-03-25
INV-020,75.25,USD,Snack Crate,2026-03-25
INV-021,2200.00,USD,Consulting Co,2026-03-25
INV-023,945.60,USD,Fleet Fuel,2026-03-26
INV-024,180.00,USD,Cleaning Crew,2026-03-26
INV-025,3300.00,USD,Insurance Premium,2026-03-26
INV-026,578.99,EUR,Vendor 26,2026-03-28
INV-027,317.78,EUR,Vendor 27,2026-03-28
INV-028,1072.91,EUR,Vendor 28,2026-03-28
INV-029,199.38,EUR,Vendor 29,2026-03-28
INV-030,899.18,EUR,Vendor 30,2026-03-28
INV-031,642.19,EUR,Vendor 31,2026-03-28
INV-032,177.58,EUR,Vendor 32,2026-03-28
INV-033,856.23,EUR,Vendor 33,2026-03-28
INV-034,146.62,EUR,Vendor 34,2026-03-28
INV-035,744.80,EUR,Vendor 35,2026-03-28
