txn_id,invoice_id,amount,currency,direction
T0001,INV-001,14.6594,EUR,credit
T0002,INV-002,10.2675,EUR,credit
T0003,INV-005,7.5056,EUR,credit
T0004,INV-007,17.5913,EUR,credit
T0005,INV-009,11.4959,EUR,credit
T0006,INV-011,5.0675,EUR,credit
T0007,INV-014,24.6865,EUR,credit
T0008,INV-016,8.8543,EUR,credit
T0009,INV-019,13.9426,EUR,credit
T0010,INV-022,3.9091,EUR,credit
T0011,INV-003,420.0000,USD,debit
T0012,INV-004,1999.9900,USD,debit
T0013,INV-006,310.2500,USD,debit
T0014,INV-008,88.4000,USD,debit
T0015,INV-010,1540.0000,USD,debit
T0016,INV-012,267.8000,USD,debit
T0017,INV-013,890.1500,USD,debit
T0018,INV-015,120.0000,USD,debit
T0019,INV-017,6400.0000,USD,debit
T0020,INV-018,512.4500,USD,debit
T0021,INV-020,75.2500,USD,debit
T0022,INV-021,2200.0000,USD,debit
T0023,INV-023,945.6000,USD,debit
T0024,INV-024,180.0000,USD,debit
T0025,INV-025,3300.0000,USD,debit
T0026,INV-026,578.9900,EUR,credit
T0027,INV-027,317.7800,EUR,credit
T0028,INV-028,1072.9100,EUR,credit
T0029,INV-029,199.3800,EUR,credit
T0030,INV-030,899.1800,EUR,credit
T0031,INV-031,642.1900,EUR,credit
T0032,INV-032,177.5800,EUR,credit
T0033,INV-033,856.2300,EUR,credit
T0034,INV-034,146.6200,EUR,credit
T0035,INV-035,744.8000,EUR,credit
