from_currency,to_currency,rate
AED,USD,2.238410
USD,AED,0.446746
ARS,USD,0.789282
USD,ARS,1.266974
AUD,USD,13.451344
USD,AUD,0.074342
BGN,USD,16.915564
USD,BGN,0.059117
BRL,USD,4.001382
USD,BRL,0.249914
CAD,USD,3.649866
USD,CAD,0.273983
CHF,USD,3.693174
USD,CHF,0.270770
CLP,USD,0.138814
USD,CLP,7.203884
CNY,USD,10.813788
USD,CNY,0.092475
COP,USD,10.802994
USD,COP,0.092567
CZK,USD,2.329753
USD,CZK,0.429230
DKK,USD,1.022008
USD,DKK,0.978466
EGP,USD,10.100394
USD,EGP,0.099006
EUR,USD,1.084200
USD,EUR,0.922339
GBP,USD,1.271500
USD,GBP,0.786473
HKD,USD,13.974004
USD,HKD,0.071561
HRK,USD,6.917795
USD,HRK,0.144555
HUF,USD,10.754403
USD,HUF,0.092985
IDR,USD,9.783333
USD,IDR,0.102215
ILS,USD,15.099527
USD,ILS,0.066227
INR,USD,13.759495
USD,INR,0.072677
ISK,USD,14.687095
USD,ISK,0.068087
JOD,USD,7.705362
USD,JOD,0.129780
JPY,USD,0.751636
USD,JPY,1.330431
KES,USD,15.320576
USD,KES,0.065272
KRW,USD,12.301236
USD,KRW,0.081293
KWD,USD,9.329954
USD,KWD,0.107182
LKR,USD,1.060879
USD,LKR,0.942615
MAD,USD,1.348406
USD,MAD,0.741616
MXN,USD,9.049473
USD,MXN,0.110504
MYR,USD,17.220146
USD,MYR,0.058072
NGN,USD,7.622386
USD,NGN,0.131193
NOK,USD,11.438133
USD,NOK,0.087427
NZD,USD,17.167206
USD,NZD,0.058251
PHP,USD,6.557272
USD,PHP,0.152502
PKR,USD,15.252222
USD,PKR,0.065564
PLN,USD,17.761641
USD,PLN,0.056301
QAR,USD,3.613488
USD,QAR,0.276741
RON,USD,14.898479
USD,RON,0.067121
RUB,USD,0.554620
USD,RUB,1.803036
SAR,USD,15.856059
USD,SAR,0.063067
SEK,USD,7.364768
USD,SEK,0.135782
SGD,USD,15.194644
USD,SGD,0.065813
THB,USD,14.153565
USD,THB,0.070654
TND,USD,4.510082
USD,TND,0.221725
TRY,USD,17.491602
USD,TRY,0.057170
TWD,USD,0.518638
USD,TWD,1.928127
UAH,USD,17.433122
USD,UAH,0.057362
VND,USD,5.282560
USD,VND,0.189302
ZAR,USD,16.882126
USD,ZAR,0.059234
AUD,CAD,3.685435
CAD,AUD,0.271338
AUD,CHF,3.642218
CHF,AUD,0.274558
CAD,CHF,0.988274
CHF,CAD,1.011866
CAD,CNY,0.337520
CNY,CAD,2.962790
CHF,CNY,0.341525
CNY,CHF,2.928047
CHF,DKK,3.613645
DKK,CHF,0.276729
CNY,DKK,10.580923
DKK,CNY,0.094510
CNY,HKD,0.773850
HKD,CNY,1.292240
DKK,HKD,0.073136
HKD,DKK,13.673087
DKK,INR,0.074277
INR,DKK,13.463197
HKD,INR,1.015590
INR,HKD,0.984649
HKD,JPY,18.591451
JPY,HKD,0.053788
INR,JPY,18.306062
JPY,INR,0.054627
INR,KRW,1.118546
KRW,INR,0.894018
JPY,KRW,0.061102
KRW,JPY,16.365948
JPY,MXN,0.083059
MXN,JPY,12.039701
KRW,MXN,1.359332
MXN,KRW,0.735656
KRW,NOK,1.075458
NOK,KRW,0.929836
MXN,NOK,0.791167
NOK,MXN,1.263956
MXN,NZD,0.527137
NZD,MXN,1.897039
NOK,NZD,0.666278
NZD,NOK,1.500875
NOK,PLN,0.643980
PLN,NOK,1.552844
NZD,PLN,0.966533
PLN,NZD,1.034626
NZD,SEK,2.330991
SEK,NZD,0.429002
EUR,GBP,85.269367
GBP,EUR,0.011728
